filename,full_path,total_seconds,duration(mm:ss)
2-02-城市化.mp3,kaoyanfw20/2-02-城市化.mp3,106.9,01:46
2-04-高等教育.mp3,kaoyanfw20/2-04-高等教育.mp3,103.13,01:43
1-09-告示.mp3,kaoyanfw20/1-09-告示.mp3,86.28,01:26
1-04-介绍信.mp3,kaoyanfw20/1-04-介绍信.mp3,69.02,01:09
1-02-邀请信.mp3,kaoyanfw20/1-02-邀请信.mp3,65.67,01:05
2-07-偶像崇拜.mp3,kaoyanfw20/2-07-偶像崇拜.mp3,96.32,01:36
2-03-扶贫成就.mp3,kaoyanfw20/2-03-扶贫成就.mp3,105.8,01:45
2-06-硕士招生.mp3,kaoyanfw20/2-06-硕士招生.mp3,82.98,01:22
1-05-道歉信.mp3,kaoyanfw20/1-05-道歉信.mp3,63.14,01:03
2-05-创业.mp3,kaoyanfw20/2-05-创业.mp3,84.93,01:24
2-09-创新.mp3,kaoyanfw20/2-09-创新.mp3,98.69,01:38
1-01-建议信.mp3,kaoyanfw20/1-01-建议信.mp3,70.35,01:10
1-08-通知.mp3,kaoyanfw20/1-08-通知.mp3,79.63,01:19
2-01-电子商务.mp3,kaoyanfw20/2-01-电子商务.mp3,95.77,01:35
1-06-感谢信.mp3,kaoyanfw20/1-06-感谢信.mp3,66.04,01:06
2-08-人生哲理类.mp3,kaoyanfw20/2-08-人生哲理类.mp3,89.1,01:29
1-07-便条.mp3,kaoyanfw20/1-07-便条.mp3,64.81,01:04
1-10-纪要.mp3,kaoyanfw20/1-10-纪要.mp3,90.42,01:30
2-10-材料作文.mp3,kaoyanfw20/2-10-材料作文.mp3,81.55,01:21
1-03-推荐信.mp3,kaoyanfw20/1-03-推荐信.mp3,55.46,00:55
